0xc8	0xff88	# (JIS=0) HALFWIDTH KATAKANA LETTER NE
0xc9	0xff89	# (JIS=0) HALFWIDTH KATAKANA LETTER NO
0xca	0xff8a	# (JIS=0) HALFWIDTH KATAKANA LETTER HA
0xcb	0xff8b	# (JIS=0) HALFWIDTH KATAKANA LETTER HI
0xcc	0xff8c	# (JIS=0) HALFWIDTH KATAKANA LETTER HU
0xcd	0xff8d	# (JIS=0) HALFWIDTH KATAKANA LETTER HE
0xce	0xff8e	# (JIS=0) HALFWIDTH KATAKANA LETTER HO
0xcf	0xff8f	# (JIS=0) HALFWIDTH KATAKANA LETTER MA
0xd0	0xff90	# (JIS=0) HALFWIDTH KATAKANA LETTER MI
0xd1	0xff91	# (JIS=0) HALFWIDTH KATAKANA LETTER MU
0xd2	0xff92	# (JIS=0) HALFWIDTH KATAKANA LETTER ME
0xd3	0xff93	# (JIS=0) HALFWIDTH KATAKANA LETTER MO
0xd4	0xff94	# (JIS=0) HALFWIDTH KATAKANA LETTER YA
0xd5	0xff95	# (JIS=0) HALFWIDTH KATAKANA LETTER YU
0xd6	0xff96	# (JIS=0) HALFWIDTH KATAKANA LETTER YO
0xd7	0xff97	# (JIS=0) HALFWIDTH KATAKANA LETTER RA
0xd8	0xff98	# (JIS=0) HALFWIDTH KATAKANA LETTER RI
0xd9	0xff99	# (JIS=0) HALFWIDTH KATAKANA LETTER RU
0xda	0xff9a	# (JIS=0) HALFWIDTH KATAKANA LETTER RE
0xdb	0xff9b	# (JIS=0) HALFWIDTH KATAKANA LETTER RO
0xdc	0xff9c	# (JIS=0) HALFWIDTH KATAKANA LETTER WA
0xdd	0xff9d	# (JIS=0) HALFWIDTH KATAKANA LETTER N
0xde	0xff9e	# (JIS=0) HALFWIDTH KATAKANA VOICED SOUND MARK
0xdf	0xff9f	# (JIS=0) HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0x8080	0x005c	# (JIS=0) REVERSE SOLIDUS
0x8081	0x007e	# (JIS=0) TILDE
0x8082	0x00a6	# (JIS=0) BROKEN BAR
0x8083	0xe103	# (JIS=0) Private Use Area
0x8084	0xe104	# (JIS=0) Private Use Area
0x8085	0xe105	# (JIS=0) Private Use Area
0x8086	0xe106	# (JIS=0) Private Use Area
0x8087	0xe107	# (JIS=0) Private Use Area
0x8088	0xe108	# (JIS=0) Private Use Area
0x8089	0xe109	# (JIS=0) Private Use Area
0x808a	0xe10a	# (JIS=0) Private Use Area
0x808b	0xe10b	# (JIS=0) Private Use Area
0x808c	0xe10c	# (JIS=0) Private Use Area
0x808d	0xe10d	# (JIS=0) Private Use Area
0x808e	0xe10e	# (JIS=0) Private Use Area
0x808f	0xe10f	# (JIS=0) Private Use Area
0x8090	0xe110	# (JIS=0) Private Use Area
0x8091	0xe111	# (JIS=0) Private Use Area
0x8092	0xe112	# (JIS=0) Private Use Area
0x8093	0xe113	# (JIS=0) Private Use Area
0x8094	0xe114	# (JIS=0) Private Use Area
0x8095	0xe115	# (JIS=0) Private Use Area
0x8096	0xe116	# (JIS=0) Private Use Area
0x8097	0xe117	# (JIS=0) Private Use Area
0x8098	0xe118	# (JIS=0) Private Use Area
0x8099	0xe119	# (JIS=0) Private Use Area
0x809a	0xe11a	# (JIS=0) Private Use Area
0x809b	0xe11b	# (JIS=0) Private Use Area
0x809c	0xe11c	# (JIS=0) Private Use Area
0x809d	0xe11d	# (JIS=0) Private Use Area
0x809e	0xe11e	# (JIS=0) Private Use Area
0x809f	0xe11f	# (JIS=0) Private Use Area
0x80a0	0xe120	# (JIS=0) Private Use Area
0x80a1	0xe121	# (JIS=0) Private Use Area
0x80a2	0xe122	# (JIS=0) Private Use Area
0x80a3	0xe123	# (JIS=0) Private Use Area
0x80a4	0xe124	# (JIS=0) Private Use Area
0x80a5	0xe125	# (JIS=0) Private Use Area
0x80a6	0xe1a6	# (JIS=0) Private Use Area
0x80a7	0xe1a7	# (JIS=0) Private Use Area
0x80a8	0xe1a8	# (JIS=0) Private Use Area
0x80a9	0xe1a9	# (JIS=0) Private Use Area
0x80aa	0xe1aa	# (JIS=0) Private Use Area
0x80ab	0xe1ab	# (JIS=0) Private Use Area
0x80ac	0xe1ac	# (JIS=0) Private Use Area
0x80ad	0xe1ad	# (JIS=0) Private Use Area
0x80ae	0xe1ae	# (JIS=0) Private Use Area
0x80af	0xe1af	# (JIS=0) Private Use Area
0x80b0	0xe1b0	# (JIS=0) Private Use Area
0x80b1	0xe1b1	# (JIS=0) Private Use Area
0x80b2	0xe1b2	# (JIS=0) Private Use Area
0x80b3	0xe1b3	# (JIS=0) Private Use Area
0x80b4	0xe1b4	# (JIS=0) Private Use Area
0x80b5	0xe1b5	# (JIS=0) Private Use Area
0x80b6	0xe1b6	# (JIS=0) Private Use Area
0x80b7	0xe1b7	# (JIS=0) Private Use Area
0x80b8	0xe1b8	# (JIS=0) Private Use Area
0x80b9	0xe1b9	# (JIS=0) Private Use Area
0x80ba	0xe1ba	# (JIS=0) Private Use Area
0x80bb	0xe1bb	# (JIS=0) Private Use Area
0x80bc	0xe1bc	# (JIS=0) Private Use Area
0x80bd	0xe1bd	# (JIS=0) Private Use Area
0x80be	0xe1be	# (JIS=0) Private Use Area
0x80bf	0xe1bf	# (JIS=0) Private Use Area
0x80c0	0xe1c0	# (JIS=0) Private Use Area
0x80c1	0xe1c1	# (JIS=0) Private Use Area
0x80c2	0xe1c2	# (JIS=0) Private Use Area
0x80c3	0xe1c3	# (JIS=0) Private Use Area
0x80c4	0xe1c4	# (JIS=0) Private Use Area
0x80c5	0xe1c5	# (JIS=0) Private Use Area
0x80c6	0xe1c6	# (JIS=0) Private Use Area
0x80c7	0xe1c7	# (JIS=0) Private Use Area
0x80c8	0xe1c8	# (JIS=0) Private Use Area
0x80c9	0xe1c9	# (JIS=0) Private Use Area
0x80ca	0xe1ca	# (JIS=0) Private Use Area
0x80cb	0xe1cb	# (JIS=0) Private Use Area
0x80cc	0xe1cc	# (JIS=0) Private Use Area
0x80cd	0xe1cd	# (JIS=0) Private Use Area
0x80ce	0xe1ce	# (JIS=0) Private Use Area
0x80cf	0xe1cf	# (JIS=0) Private Use Area
0x80d0	0xe1d0	# (JIS=0) Private Use Area
0x80d1	0xe1d1	# (JIS=0) Private Use Area
0x80d2	0xe1d2	# (JIS=0) Private Use Area
0x80d3	0xe1d3	# (JIS=0) Private Use Area
0x80d4	0xe1d4	# (JIS=0) Private Use Area
0x80d5	0xe1d5	# (JIS=0) Private Use Area
0x80d6	0xe1d6	# (JIS=0) Private Use Area
0x80d7	0xe1d7	# (JIS=0) Private Use Area
0x80d8	0xe1d8	# (JIS=0) Private Use Area
0x80d9	0xe1d9	# (JIS=0) Private Use Area
0x80da	0xe1da	# (JIS=0) Private Use Area
0x80db	0xe1db	# (JIS=0) Private Use Area
